filepath,scanner,feature_vector
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon120-1\150.tif,Canon120-1,"0.9658941030502319,0.08345767110586166,0.05464212968945503,0.03027881123125553,0.5768112540245056,0.026752617210149765,0.02251441404223442,-1.7950926118823207e-12,0.01808304339647293,0.03051392175257206,0.016251184046268463,0.007393687032163143,0.017621858045458794,0.0258518997579813,0.02844611369073391,0.028094062581658363,0.026979872956871986,0.0,0.0006866455078125,0.0,7.62939453125e-05,0.0,0.0160064697265625,3.0517578125e-05,0.0009307861328125,0.9818572998046875,0.0004119873046875"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon120-1\300.tif,Canon120-1,"0.9712809920310974,0.07668837904930115,0.05021008476614952,0.027822885662317276,0.530025839805603,0.02458270825445652,0.020688271149992943,-1.5844234561510073e-12,0.016616318374872208,0.028038928285241127,0.01777743175625801,0.008264674805104733,0.019675638526678085,0.028763150796294212,0.031185489147901535,0.02960239350795746,0.026827504858374596,0.0,0.0009002685546875,0.0,6.103515625e-05,0.0,0.0162353515625,0.0001220703125,0.001220703125,0.980926513671875,0.0005340576171875"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon120-2\150.tif,Canon120-2,"0.08244084566831589,0.9999889135360718,0.8957077264785767,0.23430664837360382,0.13779699802398682,0.38857170939445496,0.41266119480133057,0.12480010092258453,0.0705736055970192,0.21202199161052704,0.3341848850250244,0.7272286415100098,0.8640673160552979,0.9125464558601379,0.8742856979370117,0.49588075280189514,0.22358503937721252,3.0517578125e-05,0.0018157958984375,0.0,0.0006103515625,0.0015716552734375,0.0142974853515625,9.1552734375e-05,0.0011138916015625,0.9756927490234375,0.0047760009765625"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon120-2\300.tif,Canon120-2,"0.08258205652236938,0.9999889135360718,0.8960782289505005,0.23404376208782196,0.1380223035812378,0.3876618444919586,0.4115277826786041,0.12453541904687881,0.070462666451931,0.21189099550247192,0.3343481421470642,0.7292690873146057,0.8668428659439087,0.9150420427322388,0.8768798112869263,0.4990308880805969,0.2287859171628952,4.57763671875e-05,0.00177001953125,0.0,0.000732421875,0.0014190673828125,0.01458740234375,9.1552734375e-05,0.0013275146484375,0.9753570556640625,0.004669189453125"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon220\150.tif,Canon220,"0.05249140039086342,0.8968297839164734,0.999955952167511,0.004482095595449209,0.08694138377904892,0.07336634397506714,0.07839780300855637,0.0019397599389776587,0.000545208458788693,0.01310453936457634,0.3486250042915344,0.638641893863678,0.700692355632782,0.7206543684005737,0.6791096925735474,0.38343870639801025,0.2026674598455429,4.57763671875e-05,0.0015716552734375,0.0,0.00067138671875,0.0010986328125,0.0146636962890625,0.000152587890625,0.0011749267578125,0.9779815673828125,0.0026397705078125"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon220\300.tif,Canon220,"0.05570433288812637,0.8947919011116028,0.9999465942382812,0.0047732992097735405,0.09234309196472168,0.0736410990357399,0.07800590246915817,0.001877458649687469,0.0006639709463343024,0.013260950334370136,0.3489474356174469,0.5947377681732178,0.6611245274543762,0.6837270259857178,0.6509666442871094,0.37479692697525024,0.2033352255821228,3.0517578125e-05,0.0014801025390625,0.0,0.0006103515625,0.0011444091796875,0.014984130859375,0.0001068115234375,0.00146484375,0.977386474609375,0.0027923583984375"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon9000-1\150.tif,Canon9000-1,"0.02764739841222763,0.22745153307914734,0.004574978724122047,0.9996518492698669,0.0474327951669693,0.8564260005950928,0.8137233257293701,0.3133150339126587,0.26781922578811646,0.881598174571991,0.1347060352563858,0.9082497358322144,0.9818523526191711,0.9978713989257812,0.9378519058227539,0.511228084564209,0.25433215498924255,0.0002288818359375,0.0010986328125,1.52587890625e-05,0.0003204345703125,0.0009002685546875,0.013946533203125,0.0001678466796875,0.000213623046875,0.9798431396484375,0.003265380859375"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon9000-1\300.tif,Canon9000-1,"0.03228077292442322,0.24096226692199707,0.00466505391523242,0.9996277093887329,0.05535891652107239,0.8790804147720337,0.8401691317558289,0.3233102858066559,0.26921597123146057,0.8804024457931519,0.13497711718082428,0.9076661467552185,0.9380314350128174,0.9213687181472778,0.8495082259178162,0.4154881238937378,0.1576981544494629,0.0001220703125,0.0015106201171875,0.0,0.000518798828125,0.0008392333984375,0.01397705078125,0.0001220703125,0.00030517578125,0.9791412353515625,0.0034637451171875"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon9000-2\150.tif,Canon9000-2,"0.5743571519851685,0.13905730843544006,0.09057917445898056,0.05222181975841522,0.9989817142486572,0.043842583894729614,0.03678538277745247,-4.888966090147752e-14,0.028227493166923523,0.05249737575650215,0.028821531683206558,0.07180764526128769,0.1606663465499878,0.24224631488323212,0.29410743713378906,0.31246984004974365,0.3147023618221283,0.0,0.0002899169921875,0.0,3.0517578125e-05,1.52587890625e-05,0.015472412109375,0.00018310546875,0.0003204345703125,0.9835205078125,0.0001678466796875"
D:\Ai Trace Finder\Codes\Datasets\Flatfield\Canon9000-2\300.tif,Canon9000-2,"0.5626871585845947,0.13585376739501953,0.0877387747168541,0.04996011033654213,0.9980350136756897,0.04281767085194588,0.03587505221366882,-1.5839707204288317e-13,0.027380259707570076,0.050399549305438995,0.027266651391983032,0.05130130797624588,0.1148727759718895,0.17321975529193878,0.20861786603927612,0.22330142557621002,0.22902046144008636,0.0,0.000457763671875,0.0,4.57763671875e-05,0.0,0.015777587890625,1.52587890625e-05,0.0005340576171875,0.98284912109375,0.0003204345703125"
